tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
29.00;471664572#0_1;7.36;9.19;10.00;0.00;326309727#1_0;5.10;0.00;tripinfo_10;19.00;10;0;170.85;1.00;7.08;DEFAULT_VEHTYPE;;0
62.00;27028143#0_0;181.09;8.11;9.00;0.00;-326309732_0;5.10;0.00;tripinfo_9;53.00;9;0;552.90;1.00;6.28;DEFAULT_VEHTYPE;;0
63.00;451653029#3_2;21.81;16.07;3.00;0.00;-48156213_0;5.10;0.00;tripinfo_3;60.00;3;0;699.23;1.00;6.61;DEFAULT_VEHTYPE;;0
65.00;219276443#1_0;41.35;10.92;25.00;0.00;-326309730_0;5.10;0.00;tripinfo_25;40.00;25;0;406.36;1.00;5.87;DEFAULT_VEHTYPE;;0
65.00;326467649_0;3.49;7.99;51.00;0.00;442662512_0;3.60;0.00;tripinfo_51;14.00;51;0;83.39;1.00;6.70;DEFAULT_VEHTYPE;;2
66.00;48158102#2_0;3.25;7.70;14.00;0.00;219276440#1_0;5.10;0.00;tripinfo_14;52.00;14;0;472.95;1.00;9.21;DEFAULT_VEHTYPE;;0
76.00;407596050#0_0;95.95;10.48;31.00;0.00;326467642_0;5.10;0.00;tripinfo_31;45.00;31;0;449.78;1.00;4.51;DEFAULT_VEHTYPE;;0
84.00;126213877#1_0;89.86;10.76;7.00;0.00;326309727#5_0;5.10;0.00;tripinfo_7;77.00;7;0;991.55;1.00;8.99;DEFAULT_VEHTYPE;;0
85.00;219276440#2_0;98.85;10.44;28.00;0.00;27028182_0;5.10;0.00;tripinfo_28;57.00;28;0;488.18;1.00;12.48;DEFAULT_VEHTYPE;;1
86.00;48158102#0_0;114.19;10.93;34.00;0.00;326467636#0_0;5.10;0.00;tripinfo_34;52.00;34;0;471.61;1.00;9.69;DEFAULT_VEHTYPE;;0
90.00;458718920#0_0;135.78;10.97;20.00;0.00;326126530#0_0;5.10;0.00;tripinfo_20;70.00;20;0;655.94;1.00;10.42;DEFAULT_VEHTYPE;;0
91.00;326309732_0;68.80;10.56;1.00;0.00;-326467649_0;3.49;0.00;tripinfo_1;90.00;1;0;808.84;1.00;17.30;DEFAULT_VEHTYPE;;0
92.00;48156213_0;92.83;13.50;32.00;0.00;27028176#0_0;5.10;0.00;tripinfo_32;60.00;32;0;788.61;1.00;7.18;DEFAULT_VEHTYPE;;0
95.00;208352993_0;44.41;10.13;39.00;0.00;27026401#0_0;5.10;0.00;tripinfo_39;56.00;39;0;656.46;1.00;8.09;DEFAULT_VEHTYPE;;0
96.00;219276440#8_0;66.12;11.00;12.00;0.00;444013695#1_0;5.10;0.00;tripinfo_12;84.00;12;0;765.76;1.00;17.11;DEFAULT_VEHTYPE;;3
98.00;-287533481_0;64.38;10.23;8.00;0.00;126665636#0_0;5.10;0.00;tripinfo_8;90.00;8;0;926.08;1.00;10.02;DEFAULT_VEHTYPE;;0
103.00;444048536#1_0;97.80;10.04;43.00;0.00;451653455#2_0;5.10;0.00;tripinfo_43;60.00;43;0;524.24;1.00;7.62;DEFAULT_VEHTYPE;;0
103.00;126550197_0;40.86;10.71;23.00;0.00;326467643#1_0;5.10;0.00;tripinfo_23;80.00;23;0;773.46;1.00;12.49;DEFAULT_VEHTYPE;;0
106.00;326467650_0;3.51;9.04;69.00;0.00;444013695#1_0;5.10;0.00;tripinfo_69;37.00;69;0;326.21;1.00;11.47;DEFAULT_VEHTYPE;;0
113.00;442662512_0;3.60;15.78;36.00;0.00;326309727#5_0;5.10;0.00;tripinfo_36;77.00;36;0;1081.26;1.00;8.25;DEFAULT_VEHTYPE;;0
113.00;48207551_0;111.93;9.90;49.00;0.00;451653288_0;5.10;0.00;tripinfo_49;64.00;49;0;654.72;1.00;11.73;DEFAULT_VEHTYPE;;0
114.00;444013695#0_1;99.61;16.59;77.00;0.00;326309727#2_0;5.10;0.00;tripinfo_77;37.00;77;0;497.35;1.00;5.75;DEFAULT_VEHTYPE;;0
